date,transaction_number,acquiring_party,acquired_party,acquired_entities,title
2004-02-19,20040462,Toshiba Corporation,"Samsung Electronics Co., Ltd.","Samsung Electronics Co., Ltd.","20040462: Toshiba Corporation; Samsung Electronics Co., Ltd."
2004-03-05,20040544,MBNA Corporation,"Sky Financial Group, Inc.","Sky Financial Solutions, Inc.","20040544: MBNA Corporation; Sky Financial Group, Inc."
2004-02-27,20040510,Boyd Gaming Corporation,"Harrah's Entertainment, Inc.",Red River Entertainment of  Shreveport Partnership,"20040510: Boyd Gaming Corporation; Harrah's Entertainment, Inc."
2004-02-19,20040342,Vestas Wind Systems A/S,NEG Micon A/S,NEG Micon A/S,20040342: Vestas Wind Systems A/S; NEG Micon A/S
2004-03-19,20040599,"Warburg Pincus Private Equity VIII, L.P.",ConocoPhillips,ConocoPhillips Company,"20040599: Warburg Pincus Private Equity VIII, L.P.; ConocoPhillips"
2004-03-16,20040500,Gerald W. Schwartz,General Electric Company,LAC Holding Corp.,20040500: Gerald W. Schwartz; General Electric Company
2004-03-08,20040568,"KRG Capital Fund II, L.P.",FleetBoston Financial Corporation,"Interior Specialists, Inc.","20040568: KRG Capital Fund II, L.P.; FleetBoston Financial Corporation"
2004-03-19,20040598,Temasek Holdings (Private) Limited,"ChipPAC, Inc.","ChipPAC, Inc.","20040598: Temasek Holdings (Private) Limited; ChipPAC, Inc."
2004-03-12,20040596,"Group 1 Automotive, Inc.",Mr. Charles G. Peterson,"FLT, Inc.; Folsom Lake Used Car Outlet, Inc.; Rancho Imports; RMH, LLC","20040596: Group 1 Automotive, Inc.; Mr. Charles G. Peterson"
2004-03-08,20040555,"GTCR Fund VII, L.P.",Fifth Third Bancorp,Fifth Third Bank,"20040555: GTCR Fund VII, L.P.; Fifth Third Bancorp"
2004-03-19,20040593,"Lightbridge, Inc.","InfoSpace, Inc.",Authorize.Net Corporation,"20040593: Lightbridge, Inc.; InfoSpace, Inc."
